 time            v(b_out)        time            v(u_puf_u_core_sel_ro) time            v(q)           
 0.00000000e+00  4.68653885e-09  0.00000000e+00  2.46749715e-09  0.00000000e+00  2.46749746e-09 
 2.57750000e-09  9.09993250e-01  2.57750000e-09  2.96577646e-09  2.57750000e-09  2.46768539e-09 
 2.57850000e-09  9.51182927e-01  2.57850000e-09  2.96508568e-09  2.57850000e-09  2.46768583e-09 
 2.57950000e-09  9.91847507e-01  2.57950000e-09  2.96443842e-09  2.57950000e-09  2.46768433e-09 
 2.58050000e-09  1.03202682e+00  2.58050000e-09  2.96384517e-09  2.58050000e-09  2.46768528e-09 
 2.58150000e-09  1.07178660e+00  2.58150000e-09  2.96329133e-09  2.58150000e-09  2.46768539e-09 
 2.58250000e-09  1.11122541e+00  2.58250000e-09  2.96275293e-09  2.58250000e-09  2.46768611e-09 
 2.92850000e-09  1.94996708e+00  2.92850000e-09  8.56071979e-01  2.92850000e-09 -7.88893762e-05 
 2.92950000e-09  1.94996724e+00  2.92950000e-09  9.26359246e-01  2.92950000e-09 -1.14238600e-04 
 2.93050000e-09  1.94996732e+00  2.93050000e-09  9.96063768e-01  2.93050000e-09 -1.38235143e-04 
 2.93150000e-09  1.94996751e+00  2.93150000e-09  1.06511834e+00  2.93150000e-09 -1.54552765e-04 
 2.93250000e-09  1.94996758e+00  2.93250000e-09  1.13359976e+00  2.93250000e-09 -1.66723464e-04 
 2.93350000e-09  1.94996775e+00  2.93350000e-09  1.20174796e+00  2.93350000e-09 -1.89756409e-04 
 3.04850000e-09  1.94181447e+00  3.04850000e-09  1.94988097e+00  3.04850000e-09  9.00076928e-01 
 3.04950000e-09  1.94112199e+00  3.04950000e-09  1.94988766e+00  3.04950000e-09  9.60195896e-01 
 3.05050000e-09  1.94032088e+00  3.05050000e-09  1.94989707e+00  3.05050000e-09  1.01983447e+00 
 3.05150000e-09  1.93934997e+00  3.05150000e-09  1.94990305e+00  3.05150000e-09  1.08221182e+00 
 3.05250000e-09  1.93814297e+00  3.05250000e-09  1.94990777e+00  3.05250000e-09  1.15134429e+00 
 3.05350000e-09  1.93666920e+00  3.05350000e-09  1.94990313e+00  3.05350000e-09  1.22462558e+00 
 3.11450000e-09  1.13437393e+00  3.11450000e-09  1.94996338e+00  3.11450000e-09  1.94844503e+00 
 3.11550000e-09  1.08240527e+00  3.11550000e-09  1.94996483e+00  3.11550000e-09  1.94857887e+00 
 3.11650000e-09  1.03072017e+00  3.11650000e-09  1.94996681e+00  3.11650000e-09  1.94866369e+00 
 3.11750000e-09  9.79214002e-01  3.11750000e-09  1.94996797e+00  3.11750000e-09  1.94878009e+00 
 3.11850000e-09  9.27863102e-01  3.11850000e-09  1.94996966e+00  3.11850000e-09  1.94885037e+00 
 3.11950000e-09  8.76596416e-01  3.11950000e-09  1.94997058e+00  3.11950000e-09  1.94895192e+00 
 3.63550000e-09  3.09319258e-03  3.63550000e-09  1.12875990e+00  3.63550000e-09  1.94995833e+00 
 3.63650000e-09  3.04795998e-03  3.63650000e-09  1.08478847e+00  3.63650000e-09  1.94995817e+00 
 3.63750000e-09  3.01304062e-03  3.63750000e-09  1.04037442e+00  3.63750000e-09  1.94996171e+00 
